id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
26448,VAJM,medium_airport,Jamnagar Airport,22.465499877929688,70.01260375976562,69,AS,IN,IN-GJ,Jamnagar,yes,VAJM,JGA,VAJM,,,https://en.wikipedia.org/wiki/Jamnagar_Airport,Jamnagar Air Force Station
26449,VAKE,medium_airport,Kandla Airport,23.1127,70.100304,96,AS,IN,IN-GJ,Kandla,yes,VAKE,IXY,VAKE,,http://aai.aero/allAirports/kandla_generalinfo.jsp,https://en.wikipedia.org/wiki/Kandla_Airport,
26450,VAKJ,medium_airport,Khajuraho Airport,24.8172,79.918602,728,AS,IN,IN-MP,Khajuraho,yes,,HJR,VEKO,,https://www.aai.aero/en/airports/khajuraho,https://en.wikipedia.org/wiki/Khajuraho_Airport,VAKJ
26451,VAKP,medium_airport,Kolhapur Airport,16.6647,74.289398,1996,AS,IN,IN-MM,Kolhapur,yes,VAKP,KLH,VAKP,,,https://en.wikipedia.org/wiki/Kolhapur_Airport,
26452,VAKS,medium_airport,Keshod Airport,21.317101,70.270401,167,AS,IN,IN-GJ,Keshod,yes,VAKS,IXK,VAKS,,https://www.aai.aero/en/airports/keshod,https://en.wikipedia.org/wiki/Keshod_Airport,
3341,VALT,medium_airport,Murod Kond Airport,18.411501,76.464699,2136,AS,IN,IN-MM,Latur,yes,VALT,LTU,VALT,,,https://en.wikipedia.org/wiki/Latur_Airport,
30180,VAND,medium_airport,Nanded Airport,19.1833,77.316704,1250,AS,IN,IN-MM,Nanded,yes,,NDC,VOND,VOND,,https://en.wikipedia.org/wiki/Nanded_Airport,
26453,VANP,large_airport,Dr. Babasaheb Ambedkar International Airport,21.092199,79.047203,1033,AS,IN,IN-MM,Nagpur,yes,VANP,NAG,VANP,,http://aai.aero/allAirports/nagpur1_generalinfo.jsp,https://en.wikipedia.org/wiki/Dr._Babasaheb_Ambedkar_International_Airport,"Sonegaon Airport, Sonegaon Air Force Station"
3301,VAOZ,large_airport,Nashik International Airport,20.119101,73.912903,1900,AS,IN,IN-MM,Nashik,yes,VAOZ,ISK,VAOZ,,https://www.goindigo.in/airport-directory/india/nashik-isk.html,https://en.wikipedia.org/wiki/Nashik_Airport,VA35
26455,VAPO,large_airport,Pune International Airport,18.5821,73.919701,1942,AS,IN,IN-MM,Pune,yes,VAPO,PNQ,VAPO,,,https://en.wikipedia.org/wiki/Pune_Airport,"Lohegaon Airport, Lohegaon Air Force Station"
26456,VAPR,medium_airport,Porbandar Airport,21.649524,69.656405,23,AS,IN,IN-GJ,Porbandar,yes,VAPR,PBD,VAPR,,http://www.airportsindia.org.in/allAirports/porbander.jsp,https://en.wikipedia.org/wiki/Porbandar_Airport,
26457,VARG,medium_airport,Ratnagiri Airport,17.013599,73.327797,305,AS,IN,IN-MM,,no,VARG,RTC,VARG,,,https://en.wikipedia.org/wiki/Ratnagiri_Airport,
26458,VARK,medium_airport,Rajkot Airport,22.3092,70.779503,441,AS,IN,IN-GJ,Rajkot,no,VARK,RAJ,VARK,,,https://en.wikipedia.org/wiki/Rajkot_Airport,
26459,VARP,medium_airport,Swami Vivekananda Airport,21.180401,81.7388,1041,AS,IN,IN-CT,Raipur,yes,,RPR,VERP,,http://aai.aero/allAirports/raipur_generalinfo.jsp,https://en.wikipedia.org/wiki/Swami_Vivekananda_Airport,"VARP, Mana Airport, Raipur Airport"
327452,VASD,large_airport,Shirdi International Airport,19.689211,74.373655,1926,AS,IN,IN-MM,Kakadi,yes,VASD,SAG,VASD,,,https://en.wikipedia.org/wiki/Shirdi_Airport,"Ahmednagar, Saibaba"
26460,VASL,medium_airport,Solapur Airport,17.6280002594,75.93479919430001,1584,AS,IN,IN-MM,Solapur,no,VASL,SSE,VASL,,,https://en.wikipedia.org/wiki/Solapur_Airport,Sholapur
26461,VASU,large_airport,Surat International Airport,21.115531,72.743251,16,AS,IN,IN-GJ,Surat,yes,VASU,STV,VASU,,https://suratinternationalairport.com/,https://en.wikipedia.org/wiki/Surat_Airport,
26462,VAUD,medium_airport,Maharana Pratap Airport,24.617700576799997,73.89610290530001,1684,AS,IN,IN-RJ,Udaipur,yes,VAUD,UDR,VAUD,,http://www.airportsindia.org.in/allAirports/udaipur_airpo_gi.jsp,https://en.wikipedia.org/wiki/Udaipur_Airport,Dabok Airport
26463,VCBI,large_airport,Bandaranaike International Colombo Airport,7.180759906768799,79.88410186767578,30,AS,LK,LK-1,Colombo,yes,VCBI,CMB,VCBI,,http://www.airport.lk/,https://en.wikipedia.org/wiki/Bandaranaike_International_Airport,"RAF Negombo, Katunayake International Airport"
26464,VCCA,medium_airport,Anuradhapura Airport,8.301542,80.42848,324,AS,LK,LK-7,Anuradhapura,no,VCCA,ACJ,VCCA,,,https://en.wikipedia.org/wiki/Anuradhapura_Airport,SLAF Anuradhapura
26465,VCCB,medium_airport,Batticaloa International Airport,7.705073,81.677163,20,AS,LK,LK-5,Batticaloa,yes,VCCB,BTC,VCCB,,,https://en.wikipedia.org/wiki/Batticaloa_Airport,
26466,VCCC,large_airport,Colombo Ratmalana International Airport,6.821638,79.885859,22,AS,LK,LK-1,Colombo,yes,VCCC,RML,VCCC,,https://www.airport.lk/rma/index,https://en.wikipedia.org/wiki/Ratmalana_Airport,
26467,VCCG,medium_airport,Ampara Airport,7.336745,81.623869,150,AS,LK,LK-5,Ampara,no,VCCG,ADP,VCCG,,,https://en.wikipedia.org/wiki/Amparai_Airport,"GOY, Gal Oya Airport"
31927,VCCH,medium_airport,Hingurakgoda Air Force Base,8.04981,80.9814,170,AS,LK,LK-7,Polonnaruwa Town,no,VCCH,HIM,VCCH,,http://www.airforce.lk/pages.php?pages=hingurakgoda,https://en.wikipedia.org/wiki/Hingurakgoda_Airport,"MNH, Minneriya Airport"
26468,VCCJ,large_airport,Jaffna International Airport,9.79233,80.070099,33,AS,LK,LK-4,Jaffna,yes,VCCJ,JAF,VCCJ,,,https://en.wikipedia.org/wiki/Jaffna_International_Airport,"SLAF Palaly, Kankesanturai"
26469,VCCK,medium_airport,Koggala Airport,5.993680000305176,80.32029724121094,10,AS,LK,LK-3,Galle,yes,VCCK,KCT,VCCK,,,https://en.wikipedia.org/wiki/Koggala_Airport,SLAF Koggala
26471,VCCT,medium_airport,China Bay Airport,8.539159,81.18128,6,AS,LK,LK-5,Trincomalee,yes,VCCT,TRR,VCCT,,,https://en.wikipedia.org/wiki/China_Bay_Airport,"SLAF China Bay, RAF China Bay, Trincomalee Airport"
309579,VCRI,large_airport,Mattala Rajapaksa International Airport,6.283878,81.124163,157,AS,LK,LK-3,Mattala,yes,VCRI,HRI,VCRI,VCRI,http://www.mria.lk/,https://en.wikipedia.org/wiki/Mattala_Rajapaksa_International_Airport,Hambantota International Airport
26473,VDBG,medium_airport,Battambang Airport,13.0956,103.223999,59,AS,KH,KH-2,Battambang,yes,VDBG,BBM,VDBG,,,https://en.wikipedia.org/wiki/Battambang_Airport,
26475,VDPP,large_airport,Phnom Penh International Airport,11.547155,104.844699,40,AS,KH,KH-12,Phnom Penh (Pou Senchey),no,VDPP,PNH,VDPP,,http://www.cambodia-airports.com/phnompenh/en/,https://en.wikipedia.org/wiki/Phnom_Penh_International_Airport,Pochentong International Airport
35306,VDRK,medium_airport,Ratanakiri Airport,13.729999542236328,106.98699951171875,,AS,KH,KH-16,Ratanakiri,no,VDRK,RBE,VDRK,,,https://en.wikipedia.org/wiki/Ratanankiri_Airport,
513482,VDSA,large_airport,Siem Reap-Angkor International Airport,13.36974,104.223831,191,AS,KH,KH-17,Siem Reap,yes,VDSA,SAI,VDSA,,http://english.sai-airport.com/,https://en.wikipedia.org/wiki/Siem_Reap–Angkor_International_Airport,
26478,VDSV,large_airport,Sihanouk International Airport,10.570557,103.632067,33,AS,KH,KH-18,Preah Sihanouk,yes,VDSV,KOS,VDSV,,http://kos.cambodia-airports.aero/,https://en.wikipedia.org/wiki/Sihanoukville_International_Airport,"Kompong Som, Sihanoukville International Airport, Kang Keng Airport"
26488,VEAN,medium_airport,Along Airport,28.17530059814453,94.802001953125,900,AS,IN,IN-AR,,no,VEAN,IXV,VEAN,,,https://en.wikipedia.org/wiki/Along_Airport,
26489,VEAT,medium_airport,Agartala - Maharaja Bir Bikram Airport,23.886999,91.240402,46,AS,IN,IN-TR,Agartala,yes,VEAT,IXA,VEAT,,,https://en.wikipedia.org/wiki/Agartala_Airport,"Singerbhil Airport, Agartala Air Force Station"
26491,VEBD,large_airport,Bagdogra Airport,26.6812,88.328598,412,AS,IN,IN-WB,Siliguri,yes,VEBD,IXB,VEBD,,http://aai.aero/allAirports/bagdogra_generalinfo.jsp,https://en.wikipedia.org/wiki/Bagdogra_Airport,Bagdogra Air Force Station
26492,VEBI,medium_airport,Shillong Airport,25.70359992980957,91.97869873046875,2910,AS,IN,IN-ML,Shillong,yes,VEBI,SHL,VEBI,,,https://en.wikipedia.org/wiki/Shillong_Airport,"Barapani Airport, Barapani Air Force Station, Umroi Airport"
26545,VEBN,large_airport,Lal Bahadur Shastri International Airport,25.452171,82.862549,266,AS,IN,IN-UP,Varanasi,yes,VEBN,VNS,VEBN,,https://www.aai.aero/en/airports/varanasi,https://en.wikipedia.org/wiki/Lal_Bahadur_Shastri_Airport,"VIBN, Babatpur Airport, Varanasi Airport"
26494,VEBS,large_airport,Biju Patnaik International Airport,20.251021,85.814747,138,AS,IN,IN-OR,Bhubaneswar,yes,VEBS,BBI,VEBS,,http://aai.aero/allAirports/bhubaneshwar_generalinfo.jsp,https://en.wikipedia.org/wiki/Biju_Patnaik_Airport,
26435,VEBU,medium_airport,Bilaspur Airport,21.9884,82.111,899,AS,IN,IN-CT,Bilaspur,yes,VEBU,PAB,VEBU,,,https://en.wikipedia.org/wiki/Bilaspur_Airport,VABI
26496,VECC,large_airport,Netaji Subhash Chandra Bose International Airport,22.654012,88.44765,16,AS,IN,IN-WB,Kolkata,yes,VECC,CCU,VECC,,https://www.nscbiairport.com/,https://en.wikipedia.org/wiki/Netaji_Subhash_Chandra_Bose_International_Airport,"Calcutta, Kolkatta, Dum Dum Air Force Station"
26498,VEDB,medium_airport,Dhanbad Airport,23.834,86.425301,847,AS,IN,IN-BR,,no,VEDB,DBD,VEDB,,,https://en.wikipedia.org/wiki/Dhanbad_Airport,
317982,VEDG,medium_airport,Kazi Nazrul Islam Airport,23.6225,87.243,300,AS,IN,IN-WB,Durgapur,yes,VEDG,RDP,VEDG,,,https://en.wikipedia.org/wiki/Kazi_Nazrul_Islam_Airport,"Andal Airport, Durgapur Airport"
3319,VEDH,medium_airport,Darbhanga Airport,26.192801,85.916901,156,AS,IN,IN-BR,Darbhanga,yes,VEDH,DBR,VEDH,VEDH,,https://en.wikipedia.org/wiki/Darbhanga_Airport,
312234,VEDO,small_airport,Deoghar Airport,24.446842,86.704955,361,AS,IN,IN-JH,Deoghar,yes,VEDO,DGH,VEDO,,https://www.aai.aero/en/airports/deoghar,https://en.wikipedia.org/wiki/Deoghar_Airport,
26500,VEGK,medium_airport,Gorakhpur Airport,26.739700317399997,83.4496994019,259,AS,IN,IN-UP,Gorakhpur,yes,VEGK,GOP,VEGK,,http://www.aai.aero/allAirports/gorakhpur.jsp,https://en.wikipedia.org/wiki/Gorakhpur_Airport,Gorakhpur Air Force Station
26501,VEGT,large_airport,Lokpriya Gopinath Bordoloi International Airport,26.106654,91.585226,162,AS,IN,IN-AS,Guwahati,yes,VEGT,GAU,VEGT,,http://aai.aero/guwahati/index.jsp,https://en.wikipedia.org/wiki/Lokpriya_Gopinath_Bordoloi_International_Airport,"Borjhar Airport, Mountain Shadow Air Force Station"
26502,VEGY,medium_airport,Gaya Airport,24.744301,84.951202,380,AS,IN,IN-BR,Gaya,yes,VEGY,GAY,VEGY,,,https://en.wikipedia.org/wiki/Gaya_Airport,
26504,VEIM,large_airport,Bir Tikendrajit International Airport,24.76,93.896698,2540,AS,IN,IN-MN,Imphal,yes,VEIM,IMF,VEIM,,http://www.aai.aero/allAirports/imphal_gen.jsp,https://en.wikipedia.org/wiki/Imphal_Airport,Imphal
26505,VEJH,small_airport,Jharsuguda Airport,21.9135,84.0504,751,AS,IN,IN-OR,,yes,VEJH,JRG,VEJH,,,https://en.wikipedia.org/wiki/Jharsuguda_Airport,
26506,VEJS,medium_airport,Sonari Airport,22.813706,86.168981,475,AS,IN,IN-JH,Jamshedpur,no,VEJS,IXW,VEJS,,,https://en.wikipedia.org/wiki/Sonari_Airport,
26507,VEJT,medium_airport,Jorhat Airport,26.730456,94.175416,311,AS,IN,IN-AS,Jorhat,yes,VEJT,JRH,VEJT,,http://aai.aero/allAirports/jorhat_airpo_gi.jsp,https://en.wikipedia.org/wiki/Jorhat_Airport,"Rowriah Airport, Jorhat Air Force Station"
350147,VEKI,medium_airport,Kushinagar International Airport,26.776534,83.889214,266,AS,IN,IN-UP,Kushinagar,no,VEKI,KBK,VEKI,,,https://en.wikipedia.org/wiki/Kushinagar_International_Airport,
26508,VEKR,medium_airport,Kailashahar Airport,24.308657,92.00768,79,AS,IN,IN-TR,Kailashahar,no,VEKR,IXH,VEKR,,,https://en.wikipedia.org/wiki/Kailashahar_Airport,
26509,VEKU,medium_airport,Silchar Airport,24.9129009247,92.97869873050001,352,AS,IN,IN-AS,Silchar,yes,VEKU,IXS,VEKU,,http://aai.aero/allAirports/silchar_general.jsp,https://en.wikipedia.org/wiki/Silchar_Airport,Kumbhigram Air Force Station
26510,VELP,medium_airport,Lengpui Airport,23.840599,92.619698,1398,AS,IN,IN-MZ,Aizawl (Lengpui),yes,VELP,AJL,VELP,,http://www.aai.aero/allAirports/lengpui.jsp,https://en.wikipedia.org/wiki/Lengpui_Airport,
26511,VELR,medium_airport,Lilabari North Lakhimpur Airport,27.295682,94.097266,330,AS,IN,IN-AS,Lilabari,yes,VELR,IXI,VELR,,,https://en.wikipedia.org/wiki/Lilabari_Airport,
26512,VEMN,medium_airport,Dibrugarh Airport,27.4839000702,95.0168991089,362,AS,IN,IN-AS,Dibrugarh,yes,VEMN,DIB,VEMN,,,https://en.wikipedia.org/wiki/Dibrugarh_Airport,Mohanbari Air Force Station
26513,VEMR,medium_airport,Dimapur Airport,25.883899688699998,93.77110290530001,487,AS,IN,IN-NL,Dimapur,yes,VEMR,DMU,VEMR,,,https://en.wikipedia.org/wiki/Dimapur_Airport,
